,0,1
autumn,0,1
avail,5,13
averag,6,2
avert,0,1
avoid,4,9
away,3,2
b,1,0
baasyir,1,0
back,2,3
background,1,0
backlog,1,0
backstop,0,3
backup,1,0
backward,1,0
bagehot,0,6
bail,1,0
bailin,1,0
bailout,3,0
bakar,1,0
balanc,5,15
bali,4,0
bank,30,287
bankbas,0,1
bankdeal,0,1
bankprovid,0,1
bankrupt,1,0
bare,0,1
base,11,4
basel,6,2
basi,4,4
basic,3,1
basu,1,0
batam,1,0
bcbs,0,1
bear,2,2
becam,1,2
becom,6,4
bedevil,0,1
began,1,0
begin,2,1
behavior,3,0
behaviour,0,1
behind,1,0
belief,2,0
believ,9,2
belong,1,0
benefici,1,0
benefit,6,8
bespok,0,3
best,10,3
bestqual,0,1
bet,1,0
better,12,2
beverag,1,0
beyond,8,4
bid,0,1
bidask,0,1
bidoff,0,2
big,0,4
bilater,3,1
bill,0,3
billion,3,0
bind,0,1
bintan,1,0
bis,2,0
bit,3,0
bleak,1,0
blind,0,2
blog,0,1
blunden,0,2
board,4,2
bodi,2,0
bolster,1,0
bomb,3,0
bond,1,9
book,1,5
boom,6,0
boost,9,0
border,0,1
borrow,8,6
boston,0,1
bottom,1,0
bound,0,1
box,1,0
bp,0,1
brace,1,0
brake,1,0
break,0,1
bring,2,6
brisk,1,0
broad,7,7
broaden,1,0
broader,4,2
broke,1,1
brought,3,0
brunnermei,0,1
buffer,0,5
buffet,1,0
bug,1,0
build,1,4
built,0,1
buiter,0,3
bullet,1,0
bulletin,0,3
burgeon,1,0
burst,1,0
busi,34,3
bust,1,0
buttress,1,0
buy,2,9
buyback,1,0
buyer,0,3
bypass,0,1
calcul,0,3
call,3,5
came,0,1
canada,6,2
canadian,3,0
cant,1,0
capabl,0,2
capac,6,3
capit,55,22
capitalexport,1,0
capitalimport,1,0
capitalinsur,0,1
captur,1,0
care,0,3
carnegi,1,0
carney,0,1
carri,3,0
carter,1,0
case,13,3
casebycas,6,0
cash,1,9
cashliquid,0,1
catalys,1,0
catalyt,0,2
cater,0,1
cato,1,0
caus,5,3
causal,1,0
cautious,2,0
caveat,2,0
cds,0,1
cecchetti,0,1
cent,5,0
centr,0,3
central,4,56
centralis,1,0
centuri,5,3
ceo,1,0
certain,3,2
certainti,2,1
cgfs,0,2
chairman,1,1
challeng,7,2
chanc,1,0
chang,33,3
chapman,0,1
character,1,0
characterist,1,1
charg,1,5
cheapli,0,1
chemic,2,0
chicago,1,0
chief,1,0
china,27,0
chines,9,0
choic,2,2
choos,0,2
chose,0,1
circl,1,0
circuit,1,0
circul,0,1
circular,1,0
circumspect,1,0
circumst,4,8
cite,2,0
citizen,1,0
civil,1,0
civilian,1,0
claim,0,1
clarifi,0,1
clariti,1,0
class,0,3
classic,0,2
clean,0,1
clear,8,13
clearer,1,3
clew,0,1
client,1,0
climat,2,0
close,7,2
closer,1,0
cloud,2,0
code,1,0
coher,1,0
cohes,1,0
collabor,2,0
collaps,0,1
collater,0,42
colleagu,2,0
collect,3,3
colr,0,6
combust,1,0
come,4,3
comefirst,0,1
comment,2,0
commerci,1,9
commit,4,5
committe,15,8
common,0,2
communic,4,0
communiti,8,1
compact,1,0
compani,20,1
compar,3,2
competit,9,0
competitor,1,0
complement,3,0
complementar,1,0
complementari,1,0
complet,3,1
complex,9,1
compli,0,1
complianc,2,0
complic,1,0
compon,1,0
composit,0,2
comprehens,2,0
compris,0,3
comput,7,0
conceal,1,0
conceiv,0,1
concentr,1,0
concern,9,2
concert,2,0
concessionari,1,0
conclud,5,2
conclus,4,1
concomit,1,0
concur,1,0
condemn,2,0
condit,1,15
conduc,1,0
conduct,1,0
conduit,0,1
confer,4,4
confid,12,5
confirm,0,1
confluenc,1,0
confront,4,0
confus,0,1
consensus,4,1
consequ,2,1
consid,1,2
consider,7,2
consist,7,8
consolid,4,0
constant,3,0
constantnav,0,1
constel,1,0
constrain,1,1
constraint,1,2
construct,1,2
consult,5,2
consum,3,1
consumpt,1,0
contagion,2,0
contain,7,3
contend,1,0
context,3,5
contin,1,0
conting,0,7
continu,26,2
contract,0,1
contractu,1,0
contrast,3,1
contribut,7,2
contributor,1,0
control,6,5
conven,1,0
convers,1,2
convert,0,3
convinc,2,0
cooper,5,0
coordin,1,0
cope,0,1
copi,0,1
core,6,2
coreliquid,0,1
corner,0,1
corpor,16,4
correct,3,0
corrobor,1,0
cosponsor,1,0
cost,18,17
could,6,24
council,0,1
count,2,2
counter,1,0
counterpart,1,0
counterparti,0,6
counterproduct,2,0
countri,28,3
coupl,2,0
cours,3,13
cover,2,3
coverag,2,0
cpf,3,0
creat,11,8
creation,2,1
creativ,4,0
credibl,2,3
credit,10,11
creditfundament,0,1
creditor,7,1
crise,11,3
crisi,21,24
crisisaffect,1,0
crisisresist,1,0
criteria,0,3
critic,3,0
cross,0,1
crossmarket,1,0
crucial,2,4
crude,0,1
crunch,0,1
crystallis,0,2
cultur,3,0
cummin,1,0
curb,0,1
currenc,2,0
current,13,13
curtail,2,0
cushion,0,1
custodian,1,0
customis,1,0
cut,5,2
cycl,0,2
cyclic,9,1
daili,0,2
dale,1,0
damag,1,1
dan,2,0
data,10,1
datawer,1,0
date,2,0
daunt,1,0
david,2,0
day,2,5
daytoday,0,3
de,0,1
deal,5,1
dealer,0,2
dean,1,0
debat,1,5
debt,11,1
debtor,3,0
decad,12,3
decemb,1,1
decentr,1,0
decid,0,2
decis,4,2
declar,0,2
declin,2,1
decompos,1,0
decre,2,0
decreas,1,0
dedic,0,1
deep,1,0
deepen,5,0
deepeningand,1,0
default,1,2
defi,1,0
deficit,1,0
deficitfinanc,0,1
defin,0,2
definit,3,2
deflat,1,0
deft,1,0
degrad,0,1
degre,5,3
delay,2,0
deliber,0,1
deliv,0,5
demand,14,5
democrat,1,0
demonstr,0,1
denial,1,0
depart,0,1
departur,1,0
depend,5,1
deplet,0,2
deploy,1,0
deposit,0,13
depositor,0,3
deposittak,0,1
depreci,1,0
depress,2,0
deputi,1,1
deregul,2,0
deriv,2,0
describ,0,3
deserv,1,0
design,0,12
desir,6,1
despatch,1,0
despit,2,0
destin,3,1
destroy,1,0
detail,2,3
detain,1,0
deter,1,0
deterior,0,2
determin,4,3
develop,27,10
devic,1,0
devis,0,1
dictum,0,2
differ,7,3
difficult,6,2
difficulti,5,0
diffus,1,0
digest,1,0
dimens,2,1
direct,6,7
disappear,1,0
discern,1,0
disciplin,3,0
disclaim,1,0
disclos,0,1
disclosur,3,0
discount,0,10
discourag,1,0
discov,1,1
discret,0,1
discretionari,0,1
discuss,4,5
disk,1,0
disloc,1,0
dismiss,1,0
disord,0,1
dispar,1,0
disposit,2,0
disrupt,6,4
dissid,1,0
dissip,1,0
distinguish,2,0
distract,1,0
distress,1,7
distribut,0,2
distrust,1,0
diversifi,3,0
divert,2,0
divid,1,0
dividend,1,0
divis,2,0
doctor,1,0
document,1,1
dodg,2,0
doha,1,0
dollar,1,0
domest,7,1
domino,1,0
done,1,0
door,1,0
dotcom,1,0
doubl,0,1
doubt,1,2
doubtless,2,0
doug,1,0
downsiz,1,0
downturn,4,0
dpm,1,0
drag,1,0
drain,0,3
dramat,1,0
drastic,1,0
draw,0,5
dri,0,2
drive,3,1
due,0,3
dwell,0,1
dwf,0,10
dynam,2,0
dynamo,1,0
dynan,1,0
eager,1,0
earli,2,3
earlier,3,2
earn,1,1
easi,2,0
easili,2,0
east,2,0
ebulli,1,0
econom,47,2
economi,41,12
economist,5,0
economistskaren,1,0
eddi,0,2
edg,1,0
educ,3,0
effect,14,15
efficaci,1,0
effici,12,0
efficiencyimprov,1,0
effort,11,0
efta,1,0
eg,0,1
eighteen,0,2
either,2,3
eke,1,0
electr,2,0
electron,2,0
element,5,1
elev,5,0
elig,0,12
elimin,3,0
elmendorfclear,1,0
els,1,0
elsewher,0,1
elud,1,0
embark,2,2
embed,1,0
emblow,0,1
embodi,2,0
embrac,1,0
emerg,10,0
emir,1,0
emphasi,2,0
employ,2,4
employe,1,0
enabl,0,2
encompass,1,0
encourag,15,1
end,7,4
endjanuari,0,1
endogen,0,1
endors,0,1
engag,2,1
engin,3,0
england,0,27
enhanc,6,1
enjoy,3,0
enorm,2,0
enough,1,5
ensur,3,2
entail,4,3
enter,2,2
enterpris,5,0
entiti,1,0
entrepreneuri,3,0
entrepreneurship,5,0
environ,16,1
episod,2,0
equal,1,3
equilibrium,0,1
equip,12,1
equiti,4,3
equival,1,0
erc,1,0
eric,0,1
error,1,0
erupt,1,0
escap,1,0
especi,2,2
essenc,2,0
essenti,4,2
establish,4,3
estim,9,0
etc,0,2
ethic,1,0
eu,2,0
euphor,1,0
european,1,0
evalu,4,0
even,7,8
event,6,3
eventu,1,5
ever,0,1
everi,4,1
everlarg,1,0
everyth,0,3
evid,10,2
evolut,3,0
evolv,1,0
ex,1,4
exacerb,1,0
exact,3,0
exampl,7,11
exceed,2,0
excess,4,4
exchang,4,7
exclud,1,0
execut,2,0
exempt,2,0
exercis,2,0
exert,1,0
exhaust,0,2
exig,1,0
exist,4,2
exit,1,2
expand,8,2
expans,6,1
expect,9,0
expedit,0,1
expediti,1,0
expenditur,2,0
expens,1,0
experi,13,2
experienc,1,0
experiment,1,0
explain,7,1
explan,1,1
explicit,0,5
exploit,5,0
explor,1,0
explos,1,0
export,7,0
exportl,1,0
expos,1,3
exposur,0,3
express,1,1
expung,1,0
extend,1,2
extent,3,1
extern,6,1
extra,0,2
extraordinari,4,0
extrapol,0,1
extrem,2,2
extremist,9,0
eye,0,2
face,5,7
facil,3,34
facilit,5,0
fact,4,2
facto,0,1
factor,11,1
factori,1,0
fade,1,0
fail,3,3
failur,2,4
fair,3,2
fall,6,5
fallen,1,0
fallout,1,0
falter,1,0
familiar,0,1
famin,1,0
famous,0,1
fanat,1,0
far,7,3
fashion,0,1
faster,4,0
fastestgrow,1,0
fat,5,0
faulti,1,0
favor,0,1
favour,1,1
fear,2,2
feasibl,3,0
feast,1,0
featur,0,1
februari,0,2
fed,1,1
feder,6,3
fee,0,1
feed,2,0
feedstock,1,0
feel,2,0
fell,2,0
fellow,2,0
fellowship,1,0
ferguson,2,0
fernald,1,0
fewer,1,0
fiduciari,1,0
field,2,0
fifteen,0,1
fifteenth,0,1
fifth,1,1
fight,0,1
final,5,0
financ,6,6
financi,39,44
find,9,3
finish,1,0
firm,14,8
first,11,13
fiscal,4,1
five,1,0
fix,2,1
fixedincom,1,0
flag,1,0
fleet,1,0
flexibl,6,0
flow,8,4
fluctuat,1,0
focus,10,5
follow,12,6
food,1,0
foolhardi,0,1
foot,0,1
forb,1,0
forc,4,0
ford,1,0
forecast,1,0
foreign,9,1
forestal,0,2
forget,1,0
forgot,0,1
form,2,2
formid,1,0
formul,0,1
formula,1,0
fortnight,0,2
fortun,1,0
forward,2,0
forwardlook,2,0
foster,3,0
found,1,3
four,2,1
fourth,2,1
fragil,0,1
frame,0,1
framework,7,6
frank,1,1
free,4,0
freeli,0,1
freez,1,0
friction,0,2
front,0,2
frontlin,1,0
fruit,1,0
fsa,0,1
fta,6,0
ftas,2,0
full,3,0
fulli,6,1
function,7,4
fund,6,15
fundament,7,3
funder,0,1
furthermor,1,0
futil,0,1
futur,10,4
g,2,4
g,28,0
gain,17,1
game,2,1
gap,2,1
gapthat,1,0
garner,1,0
gather,1,0
gdp,1,0
general,11,9
generat,3,0
generous,0,1
gentlemen,1,0
geopolit,1,0
georg,0,4
german,0,1
get,7,2
gilt,0,4
giovanni,1,0
give,4,6
given,7,10
global,14,3
globalis,1,1
globe,1,0
gloomi,1,0
go,5,3
goal,8,2
godot,1,0
goe,0,2
gold,0,2
gone,1,0
good,1,5
govern,26,14
governor,4,3
gradual,3,0
grain,2,0
grand,1,0
grasp,1,0
gravest,0,1
great,6,4
greater,6,2
grew,7,0
grind,1,0
gross,0,1
ground,0,1
group,10,4
grow,6,0
grown,3,0
growth,86,1
guarante,2,0
guard,1,1
guest,1,0
guid,3,1
guidelin,1,0
h,0,1
haircut,0,14
half,5,1
halt,2,0
hand,4,3
handelsblatt,0,1
handl,2,0
happen,2,0
happi,2,0
hard,1,1
harder,1,0
hardwar,2,0
harm,3,0
harmoni,1,0
head,2,1
headway,1,0
health,2,0
healthcar,2,0
healthi,1,0
heavili,1,0
heavyhand,1,0
hefti,0,1
height,0,1
heighten,1,0
held,2,3
help,12,13
henc,4,0
high,12,6
higher,4,3
highestqu,0,3
highgrowth,1,0
highincom,1,0
highlight,3,0
highlylev,0,1
highpotenti,1,0
highqual,1,5
highreturn,1,0
hightech,17,0
hildebrand,0,1
hint,1,0
histor,7,0
histori,2,1
hit,1,0
hmg,0,1
hmt,0,1
ho,2,0
hold,0,12
home,3,0
honest,1,0
hong,1,1
honor,1,0
hope,3,2
hopkin,1,0
hospit,1,0
host,2,0
hottest,1,0
hour,24,0
hous,1,0
household,1,3
howev,10,4
howyou,1,0
hsien,2,0
httpmavereconblogspotcomcentralbankasmarketmakeroflasthtml,0,1
hu,1,0
human,1,0
hunt,0,1
hurt,1,0
hybrid,0,1
hybriddebtcapit,0,1
ibid,0,1
id,3,0
idea,3,3
ideal,0,3
identifi,4,0
idiosyncrat,0,1
ie,1,5
ignor,1,1
ii,3,0
illequip,1,0
illiquid,0,4
illustr,0,1
im,2,0
imag,1,0
imagin,0,1
imbal,2,0
imbu,1,0
imf,1,0
immedi,2,1
immin,1,0
immunis,1,0
impact,3,0
impair,1,2
imped,1,0
imperil,0,2
implement,8,5
impli,0,1
implic,8,0
import,19,5
impos,1,0
imposs,0,1
impress,3,0
improb,1,0
improv,9,2
imprud,0,2
inadequ,1,0
inadvert,0,1
incent,4,9
incentivis,0,2
includ,9,9
incom,5,0
incomplet,0,1
inconsist,0,1
incorpor,3,0
increas,21,13
increment,3,0
incur,0,1
inde,12,3
indebted,1,0
indemn,0,1
independ,2,3
indic,2,0
indirect,0,1
individu,3,8
indonesia,9,0
indonesian,5,0
induc,2,1
industri,15,0
industryobvi,1,0
ineffect,0,1
inevit,1,0
infer,2,0
inflat,13,4
inflationcontrol,1,0
inflow,1,0
influenc,7,0
inform,7,3
infrastructur,1,1
inher,3,2
inhibit,1,0
initi,6,1
inject,0,6
innoc,2,0
innov,12,2
insead,1,0
insepar,0,1
insid,0,1
insight,2,0
insignific,1,0
insofar,0,1
insolv,2,2
instabl,0,2
instal,2,0
instanc,4,0
instead,3,2
instinct,1,0
institut,12,11
instrument,5,7
insur,2,41
intact,0,1
integr,2,0
intellectu,1,0
intend,1,0
intens,2,0
intensif,1,0
interact,1,1
interconnect,0,1
interdepend,1,0
interest,9,6
interfer,0,1
intermedi,1,0
intermediari,0,2
intern,25,5
internation,1,0
internet,1,0
interpret,2,0
interrupt,1,0
intertwin,0,1
intervent,2,2
interview,0,1
intraday,0,2
introduc,5,5
introduct,1,0
invent,1,0
inventori,0,3
invest,34,4
investmentsof,1,0
investmentspecif,1,0
investor,15,2
invit,1,0
involv,7,4
inward,1,0
iraq,1,0
irreduc,1,0
islam,5,0
islamiyah,2,0
island,2,0
issu,6,7
issuanc,0,1
ivori,0,1
j,3,0
japan,3,0
japanasean,1,0
japanes,1,0
japansingapor,1,0
jason,1,0
jemaah,2,0
jet,1,0
jintao,1,0
job,2,2
john,2,0
join,2,1
joint,0,1
jorgenson,2,0
journey,1,0
jr,2,0
judg,0,1
judgment,0,2
juli,0,2
jump,1,0
jurong,1,0
k,0,1
kalin,0,1
keep,3,3
kept,0,1
kevin,1,0
key,14,1
keynot,1,0
kickstart,0,1
killer,1,0
kind,0,4
king,0,4
know,9,1
knowhow,0,1
knowledg,1,1
known,0,2
koizumi,1,0
kong,1,1
korea,1,0
l,1,1
label,1,0
labor,11,0
labour,3,0
lack,1,2
ladi,1,0
lag,1,1
laid,0,1
lake,0,1
landscap,4,0
languish,1,0
larg,11,6
larger,0,1
largest,5,0
last,7,15
late,7,1
later,3,0
latest,3,0
latter,4,1
launch,3,0
laura,2,0
law,2,1
lawyer,1,0
lead,1,3
leader,6,0
leadingedg,2,0
leak,0,1
learn,4,1
least,0,2
leav,2,3
lectur,3,3
lee,2,0
left,1,2
legaci,0,1
legal,2,0
legisl,1,0
legitim,1,0
lend,2,27
lender,2,4
length,1,0
lengthen,1,0
lent,0,1
less,6,10
lesson,2,3
let,5,3
letter,0,3
level,20,4
lever,1,0
leverag,2,2
levi,0,2
liabil,1,4
liber,0,1
liberalis,1,0
lichtenberg,1,0
lie,2,1
life,2,1
light,2,1
like,25,9
limit,6,2
limitord,0,1
linchpin,1,0
line,1,7
link,4,1
linkag,1,0
linkup,1,0
liquid,5,102
liquidityinsur,0,3
liquidityrisk,0,1
liquiditysupport,0,1
list,2,2
littl,6,0
live,4,0
loan,0,7
loanbyloan,0,1
local,11,0
locat,2,0
lock,1,0
lolr,0,10
lombard,0,4
london,3,1
long,4,5
longer,5,1
longerterm,2,2
longitudin,1,0
longlast,1,0
longrun,2,1
longstand,1,0
longterm,4,4
look,2,5
loom,1,0
loong,2,0
lose,3,0
loss,2,1
lossabsorb,0,1
lot,0,1
low,5,0
lower,8,0
lowercost,1,0
lowinfl,1,0
lowrisk,1,0
lowyield,0,1
lse,0,1
lses,0,1
ltr,0,1
ltrs,0,3
maastricht,1,0
machin,1,0
machineri,0,1
macro,1,0
macroeconom,6,0
made,7,3
madrasah,1,0
magic,1,0
magnitud,3,1
main,3,1
maintain,6,3
mainten,2,3
major,8,1
make,10,8
maker,0,5
malaysia,3,0
malaysian,2,0
malcolm,1,0
manag,25,18
managedmarket,1,0
managementperhap,1,0
mandat,0,1
mani,19,7
manifest,1,0
manner,1,1
manufactur,6,0
map,0,1
marathon,1,0
march,0,2
margin,3,1
mark,0,4
markdown,0,1
market,57,82
marketbas,6,1
marketdriven,1,0
marketmak,0,3
marketori,1,0
marketplac,2,0
marktomarket,2,0
mas,2,0
massiv,1,1
materi,1,0
mathemat,1,0
matter,2,8
matthew,1,0
matur,5,8
maverecon,0,1
maxim,1,0
maximis,2,0
maximum,0,1
may,19,11
maze,0,1
mcdonough,2,0
mean,5,8
meaning,2,2
measur,27,5
mechan,0,2
media,1,0
medic,1,0
medium,1,1
mediums,0,1
mediumterm,1,0
meet,0,2
megawati,1,0
member,3,1
memorandum,0,1
mention,2,2
menu,0,1
mercantilist,1,0
mere,2,0
mervyn,0,4
mesh,1,0
mess,0,1
messag,1,0
method,2,0
methodolog,4,0
michael,0,1
micro,1,0
microeconom,2,0
microprudenti,0,1
mid,4,1
middecad,0,1
middl,1,0
middleclass,1,0
middleincom,1,0
midst,0,1
might,7,12
mile,1,0
mileston,1,0
milit,2,0
militaryrel,1,0
million,1,0
mind,3,0
minim,4,0
minimalist,2,0
minimis,1,0
minimum,4,2
minist,2,0
ministri,1,0
minor,1,0
miracl,1,0
mirag,1,0
mire,1,0
misalloc,1,0
mislead,0,1
mismatch,0,2
mission,1,0
mistak,0,2
mistaken,1,1
misus,1,0
mitig,0,1
mmlr,0,14
mncs,4,0
mode,1,2
model,4,2
moder,4,0
modern,2,0
modest,2,2
moment,2,0
momentum,1,0
monetari,11,31
money,3,24
monitor,3,1
month,3,11
monthlong,0,1
mood,1,0
moot,1,0
moreov,9,0
morgan,1,0
morn,2,0
motiv,0,1
move,2,1
movement,1,0
mpcs,0,1
mr,3,0
much,20,10
muhammadiyah,1,0
multifactor,4,0
multilater,2,0
multisector,1,0
mun,1,0
muslim,11,0
must,9,12
mutual,1,1
myriad,1,0
nahdlatul,1,0
narrow,0,2
narrowli,0,1
nation,8,2
nationalist,1,0
natur,8,0
near,2,0
nearzero,0,1
necessari,8,4
necessarili,1,0
need,34,21
negat,3,0
neither,1,0
net,2,6
network,6,0
never,1,2
nevertheless,1,1
new,49,6
news,1,0
newspap,0,1
next,5,0
nikolov,0,1
nineteenth,1,0
nomin,0,1
nonbank,0,2
none,1,0
nonessenti,1,0
nonetheless,2,0
nonfarm,3,0
noninflationari,2,0
nonmuslim,1,0
nonproduct,1,0
normal,3,3
northeast,2,0
notabl,1,0
note,3,1
noth,1,0
notic,0,2
notion,2,1
notwithstand,1,0
nuanc,1,0
number,5,3
numer,2,0
nurtur,2,0
object,3,3
obscur,0,1
observ,4,2
obsolet,2,0
obtain,2,0
obvious,2,5
occas,1,0
occasion,0,2
occur,8,2
octob,6,2
odd,1,0
offer,5,10
offic,2,0
offici,2,1
offset,0,1
offshor,1,0
often,11,0
oil,3,1
old,1,0
older,1,1
olin,3,0
olinersichel,1,0
omo,0,8
ondemand,0,1
one,19,13
oneoff,1,1
onesizefitsal,1,0
onetim,2,0
ongo,4,0
ontario,1,0
onto,0,2
open,4,5
oper,16,28
operationalis,0,1
operationsfacil,0,1
operationsfat,1,0
opportun,9,0
opposit,1,0
optim,1,0
optimist,3,0
option,3,2
orchestr,1,0
order,6,5
ordinari,0,1
ordinarili,1,0
organ,1,0
organis,2,0
organiz,2,0
orient,3,0
origin,2,1
otherwis,0,7
outcom,2,1
outcompet,1,0
outflow,2,1
outlook,1,0
output,33,2
outright,0,4
outset,1,0
outshon,1,0
outsid,1,0
outsiz,2,0
outstand,0,1
overadjust,1,0
overal,1,1
overcom,3,0
overdu,0,1
overestim,1,1
overhang,1,0
overhangespeci,1,0
overhead,1,0
overinvest,3,0
overnight,1,7
overreact,1,0
overrid,3,0
overtaken,1,0
overus,0,1
owe,1,1
ownership,2,0
ownnam,0,1
oxford,0,1
p,1,0
pa,1,0
pace,11,0
pact,1,0
page,1,2
paid,0,1
pain,5,0
pakistan,1,0
pale,1,0
pandora,1,0
panic,0,3
paper,3,7
paperback,0,2
paragraph,0,2
parallel,1,0
paramet,0,1
paraphras,0,1
parcel,0,1
pare,1,0
parenthet,1,0
parliamentari,1,0
part,18,6
parti,1,0
partial,1,0
particip,4,3
particular,14,4
partner,4,0
partnership,4,0
pass,3,3
passag,1,0
past,24,8
path,1,0
patient,1,0
pattern,4,0
paul,0,2
pay,1,4
payer,0,1
payment,5,6
payrol,2,0
peac,3,0
peacetim,0,7
peak,1,0
pedersen,0,1
peer,0,1
penal,1,1
penalti,0,3
pension,1,0
peopl,5,1
per,31,0
perceiv,3,0
percent,18,0
percept,1,0
perform,9,0
perhap,2,5
period,18,6
perman,3,5
permit,2,1
perpetu,1,0
persist,1,1
person,3,0
personnel,1,0
perspect,3,1
pertain,1,0
pervers,0,2
pessim,2,0
pessimist,1,0
petrochem,1,0
pharmaceut,1,0
phase,0,2
philipp,0,1
philippin,1,0
philosophi,1,0
pick,3,0
pickup,4,0
pictur,1,0
piec,2,1
pieintheski,1,0
pillar,1,0
place,4,4
placement,1,0
plan,3,10
plant,1,0
plausibl,2,1
play,3,1
pleas,1,0
pleasur,1,0
plenti,0,1
plug,1,0
plumb,0,1
plummet,1,0
plung,0,1
pmwt,0,2
point,7,6
poison,1,0
polici,23,36
policymak,4,0
polit,15,0
pool,2,0
poor,2,0
popul,5,0
portfolio,2,4
portion,1,0
portionand,1,0
pose,1,1
posit,7,2
possibl,12,4
post,7,3
postcrisi,1,0
postworld,1,0
potenti,8,2
pour,1,0
power,4,0
pp,3,1
practic,11,3
prc,1,0
pre,1,0
precautionari,0,2
preced,1,1
precept,1,1
precious,1,0
precipit,1,1
precis,2,0
predecessor,0,1
predic,0,1
predict,3,0
predomin,1,0
preempt,1,0
preemptiv,5,0
prefer,0,1
prefund,0,2
premia,0,1
premium,4,4
prepar,3,2
preposit,0,1
presenc,0,2
present,1,2
preserv,0,5
presid,4,1
press,2,1
pressur,4,0
presum,2,0
prevail,1,2
preval,0,1
prevent,2,2
previous,2,0
price,16,20
primari,1,3
primarili,1,0
prime,2,1
princip,2,2
principl,5,16
prior,2,0
privat,23,13
privatesector,0,1
privatetopriv,1,0
probabl,2,5
problem,21,19
procedur,1,0
proceed,2,1
process,12,0
procycl,2,0
produc,3,1
product,104,0
productivityenhanc,1,0
productivityl,1,0
profess,1,0
profession,1,0
profil,2,0
profit,13,1
profound,0,2
program,1,0
programm,1,1
progress,9,0
progressespeci,1,0
project,3,0
promis,1,1
promot,6,0
prompt,0,2
promulg,2,2
pronounc,0,1
prop,0,1
proper,2,1
properti,2,1
proport,0,2
propos,9,1
proposit,1,0
prospect,7,0
prosper,1,0
protect,2,11
prove,1,1
proven,1,0
provid,20,26
provinc,1,0
provis,0,7
prudent,0,5
prudenti,0,4
public,25,7
publish,2,6
purchas,2,5
purpos,1,4
pursu,3,1
pursuit,0,2
push,1,0
put,1,3
puzzl,2,0
qaeda,1,0
qualifi,1,1
qualit,0,1
qualiti,3,2
quantifi,1,0
quantit,2,0
quantiti,2,0
quarter,9,3
quarterth,1,0
quell,0,1
question,11,1
questionmark,0,1
quick,4,1
quit,5,0
quot,0,1
race,1,0
racial,1,0
rais,13,0
rang,8,7
rank,3,0
rapid,17,0
rare,0,1
ratchet,1,0
rate,19,22
rateset,0,1
rather,6,11
ratio,0,1
rd,1,0
reach,0,1
react,2,0
read,3,0
readi,2,4
readili,0,1
reaffim,0,1
real,7,3
realist,2,0
realiti,3,2
realiz,1,0
realli,0,1
realloc,2,0
realm,0,1
realtim,0,1
reap,1,1
reason,8,4
reced,1,0
receiv,0,1
recent,32,8
recess,3,1
recipi,0,1
recogn,5,0
